"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
2919,"2019-01-01 00:42:01.2580","2019-01-01 01:30:40.5560",3285,"W 87 St & Amsterdam Ave",40.78839,-73.9747,3162,"W 78 St & Broadway",40.78339981,-73.98093133,18737,"Subscriber",1972,1
740,"2019-01-01 00:42:16.3560","2019-01-01 00:54:36.8120",524,"W 43 St & 6 Ave",40.75527307,-73.98316936,526,"E 33 St & 5 Ave",40.74765947,-73.98490707,34089,"Subscriber",1975,1
572,"2019-01-01 00:42:55.9370","2019-01-01 00:52:28.3100",2003,"1 Ave & E 18 St",40.733812191966315,-73.98054420948029,401,"Allen St & Rivington St",40.72019576,-73.98997825,20635,"Subscriber",1989,1
792,"2019-01-01 00:43:10.2760","2019-01-01 00:56:22.6030",466,"W 25 St & 6 Ave",40.74395411,-73.99144871,447,"8 Ave & W 52 St",40.76370739,-73.9851615,27917,"Subscriber",1989,1
177,"2019-01-01 00:43:12.7620","2019-01-01 00:46:10.0760",3538,"W 110 St & Amsterdam Ave",40.802692,-73.96295,3357,"W 106 St & Amsterdam Ave",40.8008363,-73.9664492472,29809,"Subscriber",1972,2
1437,"2019-01-01 00:43:32.3160","2019-01-01 01:07:29.5040",3140,"1 Ave & E 78 St",40.77140426,-73.9535166,3553,"Frederick Douglass Blvd & W 112 St",40.801694,-73.957145,32496,"Customer",1981,2
534,"2019-01-01 00:43:52.2090","2019-01-01 00:52:46.5030",325,"E 19 St & 3 Ave",40.73624527,-73.98473765,410,"Suffolk St & Stanton St",40.72066442,-73.98517977,15145,"Subscriber",1973,1
957,"2019-01-01 00:43:57.4570","2019-01-01 00:59:55.1780",447,"8 Ave & W 52 St",40.76370739,-73.9851615,3153,"E 71 St & 2 Ave",40.76817546742245,-73.95910263061523,17203,"Subscriber",1989,2
772,"2019-01-01 00:44:07.7480","2019-01-01 00:57:00.0240",120,"Lexington Ave & Classon Ave",40.68676793,-73.95928168,3571,"Bedford Ave & Bergen St",40.676368,-73.952918,18418,"Subscriber",1992,1
1285,"2019-01-01 00:45:04.8600","2019-01-01 01:06:30.4940",387,"Centre St & Chambers St",40.71273266,-74.0046073,439,"E 4 St & 2 Ave",40.7262807,-73.98978041,34097,"Subscriber",1954,2
